I, [2020-02-03T16:33:43.388019 #6712]  INFO -- Kitchen: -----> Starting Test Kitchen (v2.3.4)
E, [2020-02-03T16:33:43.388620 #6712] ERROR -- Kitchen: ------Exception-------
E, [2020-02-03T16:33:43.388774 #6712] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2020-02-03T16:33:43.388903 #6712] ERROR -- Kitchen: Message: Kitchen YAML file C:/opscode/final_project/Final_Project_Repo/engineering-48-group-project-2/kitchen.yml does not exist.
E, [2020-02-03T16:33:43.388986 #6712] ERROR -- Kitchen: ----------------------
E, [2020-02-03T16:33:43.389147 #6712] ERROR -- Kitchen: ------Backtrace-------
E, [2020-02-03T16:33:43.389309 #6712] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2020-02-03T16:33:43.389635 #6712] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:154:in `data'
E, [2020-02-03T16:33:43.389713 #6712] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:132:in `suites'
E, [2020-02-03T16:33:43.389784 #6712] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:184:in `filter_instances'
E, [2020-02-03T16:33:43.389922 #6712] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:143:in `build_instances'
E, [2020-02-03T16:33:43.390069 #6712] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:117:in `instances'
E, [2020-02-03T16:33:43.390204 #6712] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2020-02-03T16:33:43.390342 #6712] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2020-02-03T16:33:43.390482 #6712] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command/action.rb:35:in `block in call'
E, [2020-02-03T16:33:43.390579 #6712] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/2.6.0/benchmark.rb:293:in `measure'
E, [2020-02-03T16:33:43.390650 #6712] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command/action.rb:34:in `call'
E, [2020-02-03T16:33:43.390727 #6712] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/cli.rb:52:in `perform'
E, [2020-02-03T16:33:43.390838 #6712] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/cli.rb:198:in `block (2 levels) in <class:CLI>'
E, [2020-02-03T16:33:43.390943 #6712] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2020-02-03T16:33:43.391049 #6712] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2020-02-03T16:33:43.391153 #6712] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2020-02-03T16:33:43.391257 #6712] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2020-02-03T16:33:43.391361 #6712] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/bin/kitchen:13:in `block in <top (required)>'
E, [2020-02-03T16:33:43.391458 #6712] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2020-02-03T16:33:43.391554 #6712] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/bin/kitchen:13:in `<top (required)>'
E, [2020-02-03T16:33:43.391616 #6712] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:369:in `load'
E, [2020-02-03T16:33:43.391680 #6712] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:369:in `<main>'
E, [2020-02-03T16:33:43.391808 #6712] ERROR -- Kitchen: ----End Backtrace-----
